Message  received:  M  1000  3.  Response:  ['M' ,'1000' ,'3']Command:  M ,  N:  1000 ,  step:  3.00
0.00 ,0.00 ,0.00
3.00 ,0.90 ,1.80
6.00 ,1.80 ,3.60
9.00 ,2.70 ,5.40
12.00 ,3.60 ,7.20
15.00 ,4.50 ,9.00
18.00 ,5.40 ,10.80
21.00 ,6.30 ,12.60
24.00 ,7.20 ,14.40
27.00 ,8.10 ,16.20
30.00 ,9.00 ,18.00
33.00 ,9.90 ,19.80
36.00 ,10.80 ,21.60
39.00 ,11.70 ,23.40
42.00 ,12.60 ,25.20
45.00 ,13.50 ,27.00
48.00 ,14.40 ,28.80
51.00 ,15.30 ,30.60
54.00 ,16.20 ,32.40
57.00 ,17.10 ,34.20
60.00 ,18.00 ,36.00
63.00 ,18.90 ,37.80
66.00 ,19.80 ,39.60
69.00 ,20.70 ,41.40
72.00 ,21.60 ,43.20
75.00 ,22.50 ,45.00
78.00 ,23.40 ,46.80
81.00 ,24.30 ,48.60
84.00 ,25.20 ,50.40
87.00 ,26.10 ,52.20
90.00 ,27.00 ,54.00
93.00 ,27.90 ,55.80
96.00 ,28.80 ,57.60
99.00 ,29.70 ,59.40
102.00 ,30.60 ,61.20
105.00 ,31.50 ,63.00
108.00 ,32.40 ,64.80
111.00 ,33.30 ,66.60
114.00 ,34.20 ,68.40
117.00 ,35.10 ,70.20
120.00 ,36.00 ,72.00
123.00 ,36.90 ,73.80
126.00 ,37.80 ,75.60
129.00 ,38.70 ,77.40
132.00 ,39.60 ,79.20
135.00 ,40.50 ,81.00
138.00 ,41.40 ,82.80
141.00 ,42.30 ,84.60
144.00 ,43.20 ,86.40
147.00 ,44.10 ,88.20
150.00 ,45.00 ,90.00
153.00 ,45.90 ,91.80
156.00 ,46.80 ,93.60
159.00 ,47.70 ,95.40
162.00 ,48.60 ,97.20
165.00 ,49.50 ,99.00
168.00 ,50.40 ,100.80
171.00 ,51.30 ,102.60
174.00 ,52.20 ,104.40
177.00 ,53.10 ,106.20
180.00 ,54.00 ,108.00
