Message  received:  M  1000  1.  Response:  ['M' ,'1000' ,'1']Command:  M ,  N:  1000 ,  step:  1.00
0.00 ,0.00 ,0.00
1.00 ,0.30 ,0.60
2.00 ,0.60 ,1.20
3.00 ,0.90 ,1.80
4.00 ,1.20 ,2.40
5.00 ,1.50 ,3.00
6.00 ,1.80 ,3.60
7.00 ,2.10 ,4.20
8.00 ,2.40 ,4.80
9.00 ,2.70 ,5.40
10.00 ,3.00 ,6.00
11.00 ,3.30 ,6.60
12.00 ,3.60 ,7.20
13.00 ,3.90 ,7.80
14.00 ,4.20 ,8.40
15.00 ,4.50 ,9.00
16.00 ,4.80 ,9.60
17.00 ,5.10 ,10.20
18.00 ,5.40 ,10.80
19.00 ,5.70 ,11.40
20.00 ,6.00 ,12.00
21.00 ,6.30 ,12.60
22.00 ,6.60 ,13.20
23.00 ,6.90 ,13.80
24.00 ,7.20 ,14.40
25.00 ,7.50 ,15.00
26.00 ,7.80 ,15.60
27.00 ,8.10 ,16.20
28.00 ,8.40 ,16.80
29.00 ,8.70 ,17.40
30.00 ,9.00 ,18.00
31.00 ,9.30 ,18.60
32.00 ,9.60 ,19.20
33.00 ,9.90 ,19.80
34.00 ,10.20 ,20.40
35.00 ,10.50 ,21.00
36.00 ,10.80 ,21.60
37.00 ,11.10 ,22.20
38.00 ,11.40 ,22.80
39.00 ,11.70 ,23.40
40.00 ,12.00 ,24.00
41.00 ,12.30 ,24.60
42.00 ,12.60 ,25.20
43.00 ,12.90 ,25.80
44.00 ,13.20 ,26.40
45.00 ,13.50 ,27.00
46.00 ,13.80 ,27.60
47.00 ,14.10 ,28.20
48.00 ,14.40 ,28.80
49.00 ,14.70 ,29.40
50.00 ,15.00 ,30.00
51.00 ,15.30 ,30.60
52.00 ,15.60 ,31.20
53.00 ,15.90 ,31.80
54.00 ,16.20 ,32.40
55.00 ,16.50 ,33.00
56.00 ,16.80 ,33.60
57.00 ,17.10 ,34.20
58.00 ,17.40 ,34.80
59.00 ,17.70 ,35.40
60.00 ,18.00 ,36.00
61.00 ,18.30 ,36.60
62.00 ,18.60 ,37.20
63.00 ,18.90 ,37.80
64.00 ,19.20 ,38.40
65.00 ,19.50 ,39.00
66.00 ,19.80 ,39.60
67.00 ,20.10 ,40.20
68.00 ,20.40 ,40.80
69.00 ,20.70 ,41.40
70.00 ,21.00 ,42.00
71.00 ,21.30 ,42.60
72.00 ,21.60 ,43.20
